cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.766905226084911, 0.14982502468563474, 0.21875216291840083, 0.0, 25.63132348303854
25, 4.623583986348401, 2.8293569358864845, 2.3377857067021224, 2.604325467968181, 27.005001877736117
50, 4.559986372357796, 4.025240271366648, 3.076160134706407, 3.694005995430345, 27.82816257258429
75, 4.511680500262042, 4.973086056624753, 3.597173922315955, 4.509310652185874, 28.50105531677896
100, 4.470912556537789, 5.797528156312726, 4.020425826530182, 5.19238771094038, 29.091280780971267
125, 4.434794957185794, 6.528432982911136, 4.387841351384559, 5.795048445376565, 29.62595500136839
150, 4.401893522329111, 7.171411395548577, 4.719590471871382, 6.342659643826721, 30.118542276913676
175, 4.371369671969485, 7.726925721976263, 5.027237429103193, 6.849933030841626, 30.576689856698426
200, 4.342667264406811, 8.199237844149787, 5.318259737897202, 7.326641517230257, 31.005621686146362
225, 4.315375666131041, 8.599300975399938, 5.597979418703369, 7.78006139006969, 31.40979140941532
