cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.767145525330974, 0.14709366932288415, 0.21875216291840083, 0.0, 25.62383537334732
50, 4.6727809527487905, 3.554526530101676, 1.4604227364317324, 1.70057302979572, 26.08014448927975
100, 4.621100424732733, 4.550744545032304, 2.0850788340613824, 2.599728057882359, 26.294182196617296
150, 4.57806671630436, 5.394087715045515, 2.5451676164474635, 3.329781958509031, 26.467845528335985
200, 4.538889812598979, 6.233295040278097, 2.925232960879598, 3.9833066272097284, 26.625611369360687
250, 4.5019618694556245, 7.075611576927288, 3.2587305430987756, 4.592268652447089, 26.77453385972371
300, 4.466887274914835, 7.859377404851164, 3.5626282909038243, 5.166293842388342, 26.91415042692956
350, 4.433520704051652, 8.542567997083717, 3.846588510143356, 5.709738058810316, 27.043493141975024
400, 4.401569456648495, 9.13250218275401, 4.116310256732492, 6.228447077099489, 27.16390763148177
450, 4.370741284970642, 9.652075125787496, 4.375230590085422, 6.727721052959495, 27.27740280621351
500, 4.340820523095317, 10.121204281170703, 4.625455809999579, 7.211394181090725, 27.385638244434116
550, 4.311653364821837, 10.554047145836332, 4.868289724591457, 7.682160481570747, 27.489796471764276
600, 4.2831305914730935, 10.960159949294091, 5.104540833807592, 8.141844178982339, 27.59068079413614
650, 4.255185965055393, 11.345967966694992, 5.3347095573137215, 8.59157329742078, 27.688840836123013
700, 4.227770950118321, 11.715855268148456, 5.559107656478901, 9.032177050698493, 27.784657804707603
750, 4.200849919965387, 12.072894864745077, 5.7779346870468595, 9.464227833015855, 27.878400078778565
800, 4.174394644235468, 12.419317004857245, 5.991330337324941, 9.888183427310196, 27.970267340868453
850, 4.148383791636054, 12.756804684937828, 6.199405067021447, 10.304385834043416, 28.06041451192717
900, 4.122801657848026, 13.086679806338463, 6.402259589806825, 10.713097097607545, 28.14896821620211
950, 4.097630223819848, 13.410025405926106, 6.599996487418602, 11.114597932007044, 28.23603917745931
1000, 4.072850060301695, 13.727760455078197, 6.792725386792098, 11.509211788202947, 28.32172737163956
1050, 4.048444672750688, 14.040690501594721, 6.980564698990632, 11.897218156114093, 28.406122346797385
1100, 4.024406327624564, 14.349549696370511, 7.163642959565298, 12.278737632194733, 28.489311780101065
1150, 4.000718515996683, 14.655024894594437, 7.342096931154263, 12.654056098868125, 28.571382383882217
1200, 3.977366823927258, 14.957778776697495, 7.516071466976393, 13.02344275196026, 28.65242114366832
1250, 3.954332177523799, 15.258462313200338, 7.685715937700454, 13.38719608962721, 28.732516806187558
1300, 3.9315992086504896, 15.557728278621818, 7.851181374711014, 13.745584076348294, 28.81175860337718
1350, 3.9091462236311703, 15.856246856840105, 8.012620110688218, 14.098950074069904, 28.890239947036008
1400, 3.8869611101345742, 16.154715044359204, 8.17018542911111, 14.447515022574024, 28.968053999109284
1450, 3.8650331366410544, 16.453878924724428, 8.324026371630266, 14.791487046441802, 29.045301636116346
1500, 3.843342335435941, 16.754540159202403, 8.474288845581658, 15.131180494330906, 29.12208887525561
1550, 3.821875091338599, 17.057585295277022, 8.621116108971073, 15.466843598362445, 29.198530754539966
1600, 3.8006113541898903, 17.364001281277908, 8.764647710653383, 15.798803754656277, 29.27475281135519
1650, 3.77953409367172, 17.674909036856523, 8.90501815157847, 16.1273420802562, 29.35089296713885
1700, 3.758625296860312, 17.991599089267464, 9.042352677460318, 16.452763095634566, 29.42710645014703
1750, 3.7378616333473476, 18.315583422882277, 9.176770422491975, 16.77542179208153, 29.50357165440513
1800, 3.7172279944815845, 18.64866176854749, 9.30838408625111, 17.095608989154357, 29.58049464436294
1850, 3.696693085432398, 18.993013143733563, 9.437297685239443, 17.413788349867772, 29.658124864173423
1900, 3.6762259367249768, 19.35132136492339, 9.563606025534565, 17.730443109021166, 29.7367621245561
1950, 3.6557924143521596, 19.72695844738204, 9.68739244836363, 18.046109983627204, 29.816779541107003
2000, 3.6353493400538963, 20.12425086861246, 9.808730406651323, 18.361441485041283, 29.898652743309896
2050, 3.6148438458417163, 20.54887248168088, 9.927676734377611, 18.677249448150675, 29.98300456765442
2100, 3.594206229193757, 21.008450820123016, 10.044268811941015, 18.994588446283018, 30.070673173265067
2150, 3.57334019454817, 21.51351612489347, 10.158517777185594, 19.314867698892527, 30.16282340158031
2200, 3.5521138023792043, 22.07901630353667, 10.27039799015026, 19.640061244275998, 30.261125769685698
2250, 3.530334815827923, 22.726741774524605, 10.379832196573503, 19.9729956072772, 30.36805911068226
2300, 3.5077108894474804, 23.48902966238179, 10.486656261765892, 20.317884884409892, 30.48739538149324
2350, 3.4838101941488544, 24.41340373144176, 10.59057687502719, 20.68096047087215, 30.62491355193179
2400, 3.4580166157852443, 25.56360304869739, 10.691082090749838, 21.07085100504571, 30.788956023234167
2450, 3.4296821683662495, 26.99981062577662, 10.787333032624213, 21.496075831369254, 30.988971605264616
2500, 3.3985923929605635, 28.71507021247649, 10.878094659658721, 21.95766960183188, 31.22866381917693
