cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.750962389156387, 0.1479255499083565, 0.21875216291840083, 0.0, 25.79653077298715
25, 4.677162121468158, 1.9687035029098743, 1.2866036673729875, 1.363219813485955, 26.237425669544976
50, 4.637144938350226, 2.63631629034512, 1.8325906940343861, 2.0866931165076466, 26.502940576260503
75, 4.605158383656871, 3.1451103806715897, 2.237786513593032, 2.655440311124906, 26.720569183110328
100, 4.5773136588376175, 3.6093558214747468, 2.5658596712476833, 3.143780996793879, 26.912115228711574
125, 4.552121687219888, 4.056992154297223, 2.8434068271658175, 3.5805112737595977, 27.086412045793356
150, 4.52894547134142, 4.484850324714474, 3.0844692653700267, 3.978441951423818, 27.247359575940717
175, 4.507495082882276, 4.879564478872533, 3.2976197863956447, 4.343819343544084, 27.396676206530522
200, 4.48755882066239, 5.233602338780596, 3.4886437027417894, 4.681110521831187, 27.535600645722635
225, 4.468915968227494, 5.548693712517339, 3.6616893611037704, 4.994600254280613, 27.665453677445438
250, 4.4513603206926575, 5.831078527943778, 3.819833433977826, 5.288151465037814, 27.7875528159214
275, 4.434714584651455, 6.0873987944920716, 3.9654135189876705, 5.565005118986221, 27.90305426670465
300, 4.418837248028205, 6.323168682695391, 4.100244380968898, 5.827743307527612, 28.01290413038754
325, 4.403620456339343, 6.542603093490074, 4.225763274212635, 6.078356404404786, 28.117855875655913
350, 4.388972261460946, 6.748878732715391, 4.3431296261322805, 6.318506497731164, 28.21853516552637
375, 4.374821450439264, 6.944370124297516, 4.453293462928121, 6.549489922279818, 28.315427687179746
400, 4.361113264678581, 7.130904003587812, 4.557043021503215, 6.772327787717188, 28.408948798000758
425, 4.347800190899418, 7.309901150797582, 4.65504192736419, 6.987905550578191, 28.499440023013864
450, 4.334840753955629, 7.482490580015721, 4.74785396723687, 7.196963723037044, 28.587191343380386
475, 4.3222006464411535, 7.649589448192639, 4.835962629340185, 7.4001488108726505, 28.67245412773554
500, 4.309852336335893, 7.811949618309444, 4.91978638730065, 7.597965069614432, 28.75544333845577
525, 4.297770909917179, 7.970200288058171, 4.999689288545284, 7.79087865736858, 28.83634758162331
550, 4.285934473096859, 8.12487340616772, 5.075990301993139, 7.979292355260782, 28.9153326819639
575, 4.274323716466057, 8.276424500735791, 5.1489705070498, 8.163562011936989, 28.992545893474233
600, 4.262921546546622, 8.425247497395338, 5.218878858557952, 8.344002560135806, 29.06811867048107
625, 4.251712840738603, 8.571686221769713, 5.285936871851615, 8.520894438508861, 29.14216887774645
