cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.750959956515068, 0.1479279688889612, 0.21875216291840083, 0.0, 25.80381101424115
25, 4.64997426004605, 2.475712522658291, 1.9115801753596173, 1.9291612337227946, 26.4213776500362
50, 4.600632758445055, 3.5088571835707127, 2.6242780443608504, 2.836303378383718, 26.76605140726424
75, 4.562480953380173, 4.311993218811461, 3.1372883863829415, 3.526657318416568, 27.045274210802198
100, 4.529725129805781, 5.01595039145365, 3.5581838866078908, 4.113903333449116, 27.290990429557308
125, 4.500199381290736, 5.661638095006993, 3.926183334243738, 4.640101464214311, 27.515608955500177
150, 4.4728247851116105, 6.264930751621989, 4.260500902742592, 5.126029713700163, 27.72539436230075
175, 4.446971696964249, 6.8318067040012975, 4.572273187634335, 5.583736272003364, 27.923944263837743
200, 4.422231409078274, 7.363639709008041, 4.8687663723708585, 6.021012254958308, 28.11348766643612
225, 4.3983152127389245, 7.859548042547582, 5.155201389274822, 6.443358409286063, 28.295485542393184
250, 4.375001196458038, 8.317938115463708, 5.435672754135301, 6.855013956247646, 28.470977187847343
275, 4.352102514991917, 8.738414368030512, 5.7136760555777215, 7.259578678654918, 28.640869964194124
300, 4.329443694545922, 9.12381193434787, 5.992458827818559, 7.660475678353237, 28.806209438612846
325, 4.306843799524251, 9.480969022444807, 6.275301294944224, 8.061277954507219, 28.96834250959873
350, 4.2841037334201655, 9.819982123128423, 6.56579307225249, 8.46595270561852, 29.128954600879315
375, 4.26099210965266, 10.153221756718732, 6.868164590550119, 8.879139005449204, 29.290086923251444
400, 4.237223640457227, 10.495261891790975, 7.187750047954311, 9.306580292660982, 29.454249453591427
425, 4.212423101119284, 10.864084888347813, 7.53171172126208, 9.755857223116578, 29.624701658839474
450, 4.1860630510055845, 11.283526883151772, 7.910278381795877, 10.23764979961254, 29.80597164880853
475, 4.157351757408362, 11.786508314782152, 8.339033319826116, 10.768008511485633, 30.004717034423773
500, 4.125020548449484, 12.416624943508248, 8.843480259402748, 11.372649891858543, 30.231019240091584
525, 4.086890354883616, 13.2204827360899, 9.46890096371218, 12.095691999580012, 30.500128896464222
550, 4.03889571636898, 14.221997072895377, 10.303135777329375, 13.019377401717705, 30.83552842167519
575, 3.9728373448036747, 15.398335567890054, 11.52767160602657, 14.309697540708981, 31.27891049947798
600, 3.8750710456364756, 16.701134529297267, 13.446674113357782, 16.24322458885642, 31.90280253534455
625, 3.750025879596015, 18.10271899661452, 15.968650721827093, 18.731127582924287, 32.701899866682574
650, 3.625589712207309, 19.621648491771747, 18.482224554248404, 21.20984952533746, 33.54657999173693
675, 3.496341706672683, 21.34128852391668, 21.10250123314238, 23.78952806916446, 34.48129936888971
700, 3.340061658729489, 23.461553261666733, 24.311390612847728, 26.921133358381297, 35.6795127947277
725, 3.1538489092279365, 26.369013892255598, 28.15724153318424, 30.66605284449892, 37.25541576072859
750, 2.9667481322074307, 30.229271203884146, 31.986953926435056, 34.43668412990175, 39.095240891754656
775, 2.7969815345334443, 34.336110453071086, 35.425646338206796, 37.85901123438793, 41.00785587935565
800, 2.646334732850772, 38.16724522419573, 38.45708429079725, 40.893556402342846, 42.89589550988084
