cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.766905226084911, 0.14982502468563474, 0.21875216291840083, 0.0, 25.63132348303854
25, 4.643271832016573, 2.6012577512361856, 1.9722238988186036, 2.2279030328212883, 26.63581340832069
50, 4.588205196888023, 3.6034497434801582, 2.5541664114099305, 3.1541789644730045, 27.22844962736771
75, 4.544833751313854, 4.451186693713072, 2.9456285794177695, 3.863437743045367, 27.71681846221316
100, 4.5066299452600544, 5.270427637990194, 3.2541722648670834, 4.4779657378735465, 28.15155580931401
125, 4.472318259431739, 5.993889172832811, 3.5185925477844937, 5.02559044454641, 28.545878994054814
150, 4.441338651984202, 6.582281295849935, 3.7569579464622027, 5.518710690999114, 28.905561005090416
175, 4.412791073193161, 7.0704309860947, 3.978403875465386, 5.972711680968928, 29.23829126701066
200, 4.385922402366177, 7.499411111891141, 4.188037640858133, 6.399870460002546, 29.55082455375356
225, 4.3602428241128415, 7.895189179841711, 4.389033300226341, 6.808074843944468, 29.847958878837073
250, 4.335447824572825, 8.271927743353002, 4.583503061939698, 7.202276173467283, 30.132921468950975
275, 4.311356332883049, 8.636633364120172, 4.772898997790476, 7.585423630097324, 30.407864893762657
300, 4.287857318640885, 8.992134231158344, 4.958226233469332, 7.959354195639577, 30.67426487268126
325, 4.264886704917687, 9.338899431605174, 5.140170413449619, 8.325122227434491, 30.933108165625843
350, 4.242407734028099, 9.676237589638003, 5.319184211800265, 8.683341231014637, 31.185078772112547
375, 4.220398572267947, 10.003062525440498, 5.4955501987544615, 9.034364990743626, 31.430650406279515
400, 4.198845338366961, 10.318353905316858, 5.669430694662192, 9.378413557431685, 31.670177351080028
425, 4.177736426346625, 10.62138269679761, 5.840905897971926, 9.715650811105277, 31.903947531613824
450, 4.15706035676671, 10.911789878427047, 6.010001616746807, 10.046222311207302, 32.13221564145397
475, 4.1368044792113965, 11.189558633751629, 6.17671026494, 10.370288977623602, 32.355221540913654
500, 4.116953949473746, 11.45495818212926, 6.341006522745662, 10.688046785915361, 32.5732017414454
