cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.766905226084911, 0.14982502468563474, 0.21875216291840083, 0.0, 25.63132348303854
25, 4.631121472529911, 3.7071418075403484, 2.2926827007470063, 2.509099893411573, 26.707825747689473
50, 4.564484252618017, 4.747803944306828, 3.2489853977910044, 3.7074896514255755, 27.345529372053296
75, 4.510848280559811, 5.5811320700031475, 3.9909863282318714, 4.663061195746806, 27.881081214872875
100, 4.464450025977351, 6.365879266752561, 4.60973959495653, 5.483404849119182, 28.359104962348088
125, 4.4230183793440965, 7.132680809199199, 5.142737705417311, 6.210839695182997, 28.798097007768956
150, 4.3852824667288655, 7.86170699280011, 5.615395434356685, 6.8698295965098595, 29.20681820314658
175, 4.350412354627797, 8.527901923206748, 6.04591935224531, 7.4766202450784505, 29.58989435762728
200, 4.317771835182363, 9.128751763433574, 6.446579714956102, 8.043468504558504, 29.951430610112716
225, 4.286868747480696, 9.676281990314484, 6.825203418555981, 8.579537730942462, 30.29531847461201
250, 4.257348946761556, 10.184517261970939, 7.186677045967849, 9.091337711815612, 30.624862215807177
275, 4.228959494548272, 10.66470160879458, 7.534077737230016, 9.583308350002184, 30.942598153492806
300, 4.201526973492905, 11.124671669147757, 7.869424379647361, 10.05852159304078, 31.25044214449088
325, 4.174931582164977, 11.569442642664917, 8.194148071609309, 10.519099869728564, 31.549806522645227
