cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.750962389156387, 0.1479255499083565, 0.21875216291840083, 0.0, 25.79653077298715
25, 4.6544447066993735, 3.288744675846511, 1.6930544271100634, 1.818772252567527, 26.381484613582785
50, 4.6060495324708794, 4.192142431409518, 2.4072643270247718, 2.711211666057679, 26.689121101506924
75, 4.56797392064408, 4.879728594186073, 2.9349417399911593, 3.4029832436515193, 26.938715141383874
100, 4.535064853372859, 5.5081768734952625, 3.3661810991458374, 3.994256281634378, 27.159120280601854
125, 4.505303595729681, 6.123689592927983, 3.7371381746881704, 4.5242269816505, 27.361867031305167
150, 4.477688942181757, 6.736177104531816, 4.0670539534716, 5.012521860144318, 27.55254061526688
175, 4.451713104304185, 7.332732086967564, 4.367751506675743, 5.469372324501407, 27.7334325258392
200, 4.427109450995664, 7.892899738766812, 4.6470774513118425, 5.900366848538624, 27.905206395659867
225, 4.403682867035968, 8.405644320528015, 4.910411821473637, 6.309612717552142, 28.06842278127236
250, 4.381246223709659, 8.87217503268456, 5.16146840572177, 6.7008421832527745, 28.224059160035715
275, 4.359626577949773, 9.29956209064211, 5.402806841983687, 7.077272418583405, 28.373248992716867
300, 4.338686224143452, 9.69574275632552, 5.636189392244406, 7.441459429561434, 28.51703730120454
325, 4.318321008613351, 10.067581339728749, 5.862830028368105, 7.7953277583736025, 28.656286628143274
350, 4.29845095458613, 10.420461834588979, 6.083563674190106, 8.140322793297898, 28.7916770497525
375, 4.27901737311924, 10.758419266900244, 6.298967765469465, 8.477471948619907, 28.92372815791415
400, 4.259978642910546, 11.084418444242939, 6.509444523562424, 8.807526713250041, 29.052847204199928
425, 4.241300483149718, 11.40061551145003, 6.71527870109726, 9.131075745591772, 29.179346523529567
450, 4.222957844698922, 11.708582543795165, 6.916680804022379, 9.448565533116863, 29.30347067870969
475, 4.204928266546792, 12.009479558278324, 7.11381334635176, 9.760344472543835, 29.425410524847255
500, 4.187196917468855, 12.304189805488065, 7.306813166894921, 10.066695156160534, 29.545327687289756
525, 4.169751274564166, 12.593406265209595, 7.495805420653778, 10.367845765945091, 29.66335753605829
550, 4.152574961300922, 12.877697200794458, 7.680909014390469, 10.664039189472703, 29.779620875641577
575, 4.135657963614169, 13.157547484682407, 7.862245820140035, 10.95547157157047, 29.894226420494782
600, 4.118988225951411, 13.433388392656232, 8.039940010592318, 11.24235532985064, 30.007274857250753
625, 4.102553091697499, 13.705620607688962, 8.214123523537664, 11.524903457481273, 30.118866622102345
650, 4.086342028487922, 13.974621721576764, 8.384933962675511, 11.803306198225783, 30.22909635995228
675, 4.070343677480532, 14.240757267666082, 8.552513894535041, 12.077774060674955, 30.33805654689494
700, 4.054546754337261, 14.50438920518774, 8.717013253064787, 12.348510830343415, 30.445839954631456
725, 4.038939750410996, 14.765878116505016, 8.878584929623967, 12.615724887670666, 30.552538233672582
750, 4.023511633737427, 15.025587758597247, 9.037386059554365, 12.879622853487675, 30.658242293148994
775, 4.008250286965631, 15.28389425835126, 9.1935802283451, 13.140425147958652, 30.76304903312274
800, 3.9931448675390264, 15.541185218283859, 9.347332596770775, 13.398335449844879, 30.86705438677123
825, 3.9781843453128305, 15.797861869266328, 9.498813316359167, 13.653564862685869, 30.970356280057054
850, 3.9633562050423485, 16.054349854155003, 9.648195324259524, 13.90634349504009, 31.073058807677747
875, 3.9486476589839357, 16.311098230969456, 9.79565358097071, 14.156904618356819, 31.175264864266374
900, 3.9340463522554345, 16.568591710409507, 9.941369302547232, 14.40547621367105, 31.277088156666903
925, 3.919540735798095, 16.827354931278503, 10.085526794909805, 14.652287726324275, 31.378646920711066
950, 3.9051160995244847, 17.08796052861793, 10.228316066134813, 14.897596473958458, 31.48006757008258
975, 3.890759924631911, 17.351043360938835, 10.369934325650954, 15.14165177404368, 31.581486885501448
1000, 3.87645660696327, 17.61731202423793, 10.510586080657358, 15.384742863976399, 31.683054746666905
1025, 3.8621903242069053, 17.887567109939894, 10.65048573121723, 15.62714734545736, 31.78493603487894
1050, 3.8479456395868006, 18.16272041509842, 10.789858618291781, 15.869184134239603, 31.88731431193733
1075, 3.8337013955124553, 18.443826609822178, 10.928945770802134, 16.11120355374085, 31.990396654992246
1100, 3.8194390531784546, 18.73211908945048, 11.06800561071215, 16.35356997785958, 32.09442418994886
1125, 3.8051357151492056, 19.029051437735323, 11.207316501288044, 16.59670349552026, 32.199670304717856
