cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.767088548069245, 0.14793360306275538, 0.21875216291840083, 0.0, 25.62507370196732
25, 4.686697725921059, 1.9053493842286828, 1.4476534902179594, 1.4810848084160426, 26.150090876319965
50, 4.6527595034111675, 2.5226775688609315, 1.856545113345498, 2.068788241775323, 26.431936193557757
75, 4.628232894031034, 2.9078805552900544, 2.114896631060159, 2.480519260367487, 26.65240235281031
100, 4.6081190658101585, 3.186415315418689, 2.30816366681057, 2.8115572981685375, 26.840346211059877
125, 4.590601887247154, 3.404067685265999, 2.465543445794649, 3.0959233271075703, 27.007318106497415
150, 4.574795235865922, 3.5834630379299126, 2.600563174444881, 3.3499845189153916, 27.15941310077068
175, 4.560198339114087, 3.737279323071685, 2.7205871372793955, 3.5829089698804353, 27.300306967024813
200, 4.546498841855295, 3.8731833997832643, 2.8300737473153315, 3.800360869801665, 27.432417397184576
225, 4.533488418199812, 3.996081259707318, 2.931939198844058, 4.006097319119846, 27.557431616703816
250, 4.521019750878353, 4.109266284604107, 3.028212121921159, 4.202758096805638, 27.67658787078343
275, 4.508985146400691, 4.215038886695178, 3.120376656907231, 4.3922754026386315, 27.790823054950266
300, 4.497300473179375, 4.315080523661341, 3.2095728414541447, 4.576147145819576, 27.900882193154885
325, 4.485899384626342, 4.410658179072724, 3.2967117414328118, 4.755558383291103, 28.007363324457035
350, 4.47472771152647, 4.502765524122044, 3.3825512565998306, 4.931478948811133, 28.110761850814512
375, 4.463739378640807, 4.592214956003771, 3.467749693278399, 5.104740751555582, 28.21150136815261
400, 4.452893615553708, 4.679697856551391, 3.5529021655601456, 5.276081601949613, 28.309950558637986
425, 4.442153328460538, 4.765826429524211, 3.6385689875962357, 5.446178307402917, 28.40644004183904
450, 4.431483896886412, 4.851164534017838, 3.72529819926124, 5.615670613842056, 28.501274088197302
475, 4.420851784849678, 4.9362534827926074, 3.8136470710006587, 5.7851888756260905, 28.59473886461112
500, 4.410221806519527, 5.021628099714237, 3.904203770397763, 5.9553852589691445, 28.687108482148197
525, 4.399562273120197, 5.1078497307872395, 3.9976059377765827, 6.1269051214964065, 28.778673619847716
550, 4.388830405837615, 5.195483402980672, 4.094575848266269, 6.300538412239263, 28.869698085846956
575, 4.377983755575217, 5.285168870896895, 4.195944274178142, 6.477095565031064, 28.960493519729884
600, 4.366978085655892, 5.377607626720371, 4.302696037435972, 6.6575471466051965, 29.05139411531877
625, 4.355752765134633, 5.4735978985493094, 4.416035181786604, 6.84304149813299, 29.14277834089342
650, 4.3442388759684505, 5.574060869988362, 4.537461182115909, 7.034990097281181, 29.23509102035898
675, 4.332349280395579, 5.6800806479522015, 4.668895811378726, 7.235171576463117, 29.328872187471816
700, 4.319971244703737, 5.79295366159176, 4.812869395888287, 7.445894132019632, 29.42480075495227
725, 4.306955570735348, 5.9142546231317095, 4.972814954054927, 7.670250316745168, 29.523760210875487
750, 4.293095235873221, 6.045926970057813, 5.153553238832876, 7.912531899665353, 29.626948314268603
