cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.777420098032741, 0.011348301208868872, 0.0, 0.0, 25.607972158578473
25, 4.7551462271685185, 0.42124188359566883, 0.12941417107525943, 0.3404424860240596, 25.860461024877363
50, 4.7348924458983, 0.8059896208818529, 0.26423600111503687, 0.6557595465029493, 26.076972045819
75, 4.715965176544786, 1.1713275401512013, 0.39929498630254523, 0.9534694765093548, 26.271845673761966
100, 4.697936449603703, 1.5237110202372617, 0.5345923618149562, 1.2392748780265634, 26.45214639835259
125, 4.680570657307031, 1.8667273207653268, 0.6701293078803849, 1.5163198246302159, 26.621794599660554
150, 4.6637201812978475, 2.202624517205942, 0.8059070221554054, 1.7865734176093753, 26.78324301833135
175, 4.6472852615743045, 2.532922251277492, 0.9419266231521228, 2.0513669414456785, 26.93814697061251
200, 4.631195412780141, 2.858714952387409, 1.078189363722204, 2.311645438731489, 27.08769680806528
225, 4.61539749568975, 3.1808186152504025, 1.2146964648761305, 2.5681057811759587, 27.23277849038615
250, 4.599852278209465, 3.499860118167286, 1.3514491228293513, 2.8212856750050435, 27.37407098146743
275, 4.584528024197573, 3.8163318774631527, 1.4884485771867628, 3.071614744317344, 27.51210658186606
300, 4.569396667851187, 4.130641007307556, 1.6256960926388064, 3.319432255590314, 27.64732321509447
325, 4.554438812835833, 4.443131386274002, 1.7631928421517618, 3.565035366548585, 27.780093899505246
350, 4.539635876999064, 4.754073200481179, 1.9009401165483442, 3.808664748790477, 27.910707367767696
375, 4.524969141055071, 5.063699722164228, 2.0389392368170944, 4.0505222750628604, 28.039411947820934
400, 4.510430907386493, 5.3722138107227035, 2.1771914848621843, 4.290787033534556, 28.166425592133216
425, 4.496007607225328, 5.679788289204712, 2.3156981823677203, 4.529605245361225, 28.291930779554257
450, 4.4816890283013455, 5.986580364988347, 2.4544606130836533, 4.767116478358574, 28.416094334444587
475, 4.46746640258072, 6.292723953451162, 2.593480086076705, 5.0034360724681335, 28.539057476990813
500, 4.4533325755572015, 6.598339316633894, 2.732757935487573, 5.238651972776921, 28.660945626237442
525, 4.439283041054969, 6.903534588418947, 2.8722955046827203, 5.472848196330986, 28.781874059710372
550, 4.425309632970365, 7.208409460016297, 3.012094129433107, 5.706102480446162, 28.901944847084327
575, 4.41140850006551, 7.513052022883048, 3.1521551750577026, 5.938487894017456, 29.021249763103082
600, 4.397574890136753, 7.817543693727169, 3.292480012440202, 6.170063062041962, 29.139872251273825
625, 4.383804613865774, 8.121959492839048, 3.433070024381124, 6.400883202627796, 29.257889811262597
650, 4.37009386716376, 8.42636876579741, 3.5739266058251506, 6.630999332339371, 29.37537333746731
675, 4.356438346720232, 8.73083581870796, 3.7150511641029893, 6.8604599297803475, 29.4923881780579
