cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.77727687871056, 0.013638586099384842, 0.0, 0.0, 25.614226410145008
25, 4.7313769623632345, 0.7509702016529785, 0.29031262826489934, 0.7047512778716793, 26.310603538328586
50, 4.691378235111943, 1.4391816227533938, 0.5936243706361033, 1.3361858843712042, 26.865156184726242
75, 4.654524599254149, 2.0964912769613764, 0.8981590161711073, 1.9265976946336139, 27.35070984034118
100, 4.619630970447475, 2.7357856892690102, 1.203928296065604, 2.4916038142425805, 27.794057460860316
125, 4.586110865952085, 3.363485325709914, 1.5109447551540645, 3.0389452593015704, 28.20848355017937
150, 4.5536227950513695, 3.9833651504819767, 1.8192215722606875, 3.573131352462994, 28.601751838936536
175, 4.521941784665601, 4.597896457670137, 2.128772414803237, 4.0971260692661815, 28.978909752554536
200, 4.490914122038521, 5.208804668771716, 2.4396113778675788, 4.612978138319335, 29.343447750650178
225, 4.460424612813923, 5.817361044943925, 2.751752734254864, 5.12217658533082, 29.69790934421822
250, 4.430387968255888, 6.424544101675577, 3.065211452325034, 5.625857226610847, 30.044227280168588
275, 4.40074124231512, 7.031138044939233, 3.3800031082716897, 6.124896214737191, 30.383927875910825
300, 4.371430318169641, 7.637776603197699, 3.696142928209989, 6.619968140666501, 30.71822286549484
325, 4.342405579954868, 8.244989483904753, 4.013643962135561, 7.111724295662043, 31.04811126017524
350, 4.313635511827414, 8.853223689697442, 4.332520618801416, 7.600618254529223, 31.37441547299314
