cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.777420098032741, 0.011348301208868872, 0.0, 0.0, 25.607972158578473
25, 4.757288285831439, 0.4270564931185272, 0.22539873365219343, 0.3436230843670245, 25.75480640548289
50, 4.737091821865167, 0.8510838391669329, 0.46040777380734754, 0.691323368579674, 25.89739297412804
75, 4.717189914345552, 1.2716193727047242, 0.6960294391002542, 1.0352994039207175, 26.035158317461512
100, 4.697518125130025, 1.6897137243049642, 0.9322691580128883, 1.3764217571604718, 26.169223818494117
125, 4.678031465352655, 2.1061024771891534, 1.1691320728865806, 1.7152801593489926, 26.300369758508307
150, 4.658700773410965, 2.521328872009898, 1.4066230558381632, 2.052294517377632, 26.4291661998796
175, 4.6394939931351, 2.935839218551539, 1.6447468775184326, 2.3878636363621837, 26.556083613141
200, 4.620398159822152, 3.3499429119408286, 1.883508463168393, 2.7221671260767835, 26.6814383022351
225, 4.601396060415277, 3.763930356672529, 2.1229125673146054, 3.0554575402578052, 26.805530009990836
250, 4.582469601837349, 4.178039642938691, 2.362963758256542, 3.3879314388764215, 26.928602002796364
275, 4.563612628642995, 4.592461389654845, 2.6036667589629414, 3.719723543933924, 27.050844135843487
300, 4.544812881596024, 5.007368122232125, 2.845026185418209, 4.050975273452735, 27.172428380425906
325, 4.52606191988129, 5.422911048994427, 3.0870465698516036, 4.381809769702869, 27.293503348228093
350, 4.507354963311917, 5.839211430663649, 3.329732454847678, 4.712270376970267, 27.414181892128052
375, 4.488685407614361, 6.256390176300597, 3.573088307936134, 5.042480003671372, 27.53458218544236
400, 4.470046503825062, 6.674555245328229, 3.8171186612894648, 5.37250319078926, 27.6548044636562
425, 4.451435337719051, 7.093804108524182, 4.061828080704533, 5.702388120930962, 27.774937647767175
450, 4.43284115689328, 7.514242108471447, 4.307221214186619, 6.032283383961783, 27.89508260580404
475, 4.4142674782205615, 7.93593112266241, 4.553302586401998, 6.362140982534967, 28.015285172402432
500, 4.395705422872885, 8.358969445232889, 4.8000768403358425, 6.692081006091698, 28.135639676241436
525, 4.377148740495882, 8.783431219601168, 5.047548715144989, 7.022180845539978, 28.25620802073071
550, 4.358601419773833, 9.209375170018285, 5.295722969883365, 7.352394324144242, 28.377035612005386
575, 4.3400580367112225, 9.63687572466192, 5.544604228254457, 7.682801459016659, 28.498185682290302
600, 4.3215135323633955, 10.06600191661784, 5.79419739787419, 8.013454059155833, 28.619717355532106
625, 4.3029658097657375, 10.496821477119955, 6.044507191101156, 8.344421749684955, 28.74168581712759
650, 4.284412262820276, 10.929390484103907, 6.2955381419543155, 8.675682936576763, 28.864133097425555
675, 4.265851143055975, 11.36377076239501, 6.547295103089135, 9.007282391762416, 28.98710704791082
700, 4.247280609655125, 11.800022750399508, 6.799782706388191, 9.339271753605288, 29.110655261440286
725, 4.228700938727707, 12.23820395309103, 7.053005589463524, 9.671634510634064, 29.234820530301718
750, 4.210101614071539, 12.678381828749718, 7.306968787797263, 10.004495671808627, 29.359660752996035
775, 4.191487693846985, 13.120604139214153, 7.561677028799629, 10.337806784380632, 29.48520209613504
800, 4.172856092967386, 13.56493435252949, 7.817135114303586, 10.67159451539274, 29.611495612830545
825, 4.15420051224409, 14.011436052152371, 8.073348299881445, 11.005955404460963, 29.738592572119394
850, 4.13552115215851, 14.460160779272414, 8.330321368886906, 11.340885990814527, 29.866526263467513
875, 4.116817154492579, 14.911168360856752, 8.588059427790828, 11.676397105618008, 29.995339891774975
900, 4.098083953966852, 15.364517298204817, 8.846567252790694, 12.012538837273908, 30.12507668203658
925, 4.0793177414288815, 15.820271978133105, 9.10584970488838, 12.349373154165065, 30.25578519089648
950, 4.06052181072559, 16.278485997177484, 9.365911751788802, 12.686870006801172, 30.387499526352464
975, 4.041690632941081, 16.739217982820374, 9.626758591879403, 13.025049228115321, 30.520262139405272
1000, 4.0228284897317215, 17.20253098021344, 9.888394832446712, 13.363940325341815, 30.654115552145004
