cycles, capacity, LAM_NE, LAM_PE, LLI, Resistance
0, 4.77727687871056, 0.013638586099384842, 0.0, 0.0, 25.614226410145008
25, 4.737957946591605, 0.6926128832756562, 0.2903034267367155, 0.617969711413167, 26.183909575385247
50, 4.702203263692435, 1.3458026187186722, 0.593597833684878, 1.1934580123485574, 26.661148184555785
75, 4.668685964459911, 1.9767731284412893, 0.8981117304844077, 1.7398801146936336, 27.08777170561421
100, 4.636625750106974, 2.5943798594231793, 1.203857704587874, 2.2675314458361413, 27.48203193100868
125, 4.605611692873882, 3.2033189575003673, 1.5108477601316839, 2.781832008809104, 27.853557406313623
150, 4.575390208323046, 3.806476229405209, 1.8190967871333785, 3.2861335825580085, 28.20821981413303
175, 4.5457979119175835, 4.405774355888681, 2.128615119469923, 3.7825890262023165, 28.549908957551157
200, 4.5167151354020465, 5.002592220832458, 2.4394191337324345, 4.27279714545314, 28.88137226208053
225, 4.488053359890883, 5.597967085188049, 2.751521536718382, 4.757899749775973, 29.204659674734028
250, 4.4597444766002745, 6.192700218591307, 3.06493776685961, 5.238790966517598, 29.52132378437294
275, 4.431738232690367, 6.787446156753074, 3.3796829935991424, 5.716177785336114, 29.832615607168563
300, 4.403990055073734, 7.382747460707028, 3.695772020394683, 6.190631545007108, 30.139554493964933
325, 4.376466976305798, 7.979044542092517, 4.013219383041633, 6.662604114507715, 30.442943286637636
