Cycle_number, Full_cell_capacity_mean, Full_cell_capacity_std, Anode_capacity_mean, Anode_capacity_std, Cathode_capacity_mean, Cathode_capacity_std, Total_lithium_mean,Total_lithium_std
0, 4.9500911284722235, 0.009699642019476071, 5.056839628105436, 0.01031770849470505, 5.702591552828648, 0.007657637657789358, 5.188552485250401, 0.008737109550899786
145, 4.771158819444444, 0.0049838604822676335, 4.879214709009201, 0.004917511595643087, 5.579703473102467, 0.009834436612114169, 4.970646433958499, 0.0033313237046085947
195, 4.728301927083332, 0.004684045692377001, 4.837246807482339, 0.0036512766761871976, 5.552130650215178, 0.01026500467352186, 4.922033191223075, 0.0034655244242267212
214, 4.7052416840277775, 0.006845790948321218, 4.813523899010327, 0.0057694445926260085, 5.532662451597744, 0.00980301215209671, 4.894801700196695, 0.0050801743050285855
313, 4.652468142361112, 0.005092636600202755, 4.758596738065649, 0.003915554348048611, 5.507903281412453, 0.009768364386524436, 4.8435417483937515, 0.0036729285670753257
388, 4.620119756944445, 0.005503223570296309, 4.725694172559675, 0.0026701024102883347, 5.483242799416569, 0.006825322877997496, 4.812864342386547, 0.004984518700066034
538, 4.561358749999999, 0.005924438822377289, 4.66329197846988, 0.00444737848467577, 5.456434906758964, 0.003563750048209661, 4.765396586955124, 0.0059595897596596975
713, 4.4747212326388865, 0.007117611447838132, 4.571762955160232, 0.003704278220766139, 5.407726879738652, 0.007285236881256279, 4.7024026120123885, 0.009066445833471597
913, 4.336433263888889, 0.08448805230010675, 4.417741814471107, 0.0854884669415823, 5.299285022206391, 0.10392303671307114, 4.614844431355342, 0.07879643262601053

