Cycle_number, Full_cell_capacity_mean, Full_cell_capacity_std, Anode_capacity_mean, Anode_capacity_std, Cathode_capacity_mean, Cathode_capacity_std, Total_lithium_mean,Total_lithium_std
0, 4.946130300925925, 0.007052596793679476, 5.0502908782790294, 0.006608240051646476, 5.698976911510972, 0.008352419175411359, 5.185247976613325, 0.007141064126948253
145, 4.7647910648148155, 0.009846369153402063, 4.871800683189399, 0.009414470112774596, 5.581251612537268, 0.010960533978138618, 4.967376229029163, 0.010631912325416859
195, 4.723410717592592, 0.00977567075682389, 4.831400884914974, 0.009598607564075191, 5.552952392463792, 0.005085253355587927, 4.919854449878929, 0.008177841485048448
270, 4.673208541666668, 0.010055925080496443, 4.778308246633052, 0.008269831207360441, 5.51786728343822, 0.00868682128691696, 4.8654938419943425, 0.009394430225332847
420, 4.5904321296296295, 0.012921289805172433, 4.693935032395493, 0.012238811580060483, 5.477890190890554, 0.010133785772105774, 4.791924894218245, 0.012530697572949832
570, 4.5292422685185185, 0.015301984889617544, 4.629802978767745, 0.014539808728525203, 5.438569823218004, 0.010863517071544634, 4.742434968619044, 0.013860325283454246
745, 4.434467939814815, 0.01988926817903495, 4.528250737890127, 0.019333454603165236, 5.379919936266482, 0.012487189366274982, 4.677150863224644, 0.017828966590642707
945, 4.249413333333334, 0.029177596724910118, 4.328567205801824, 0.029573912133211238, 5.211369943276787, 0.037502445400576706, 4.547378853278336, 0.027026526780831995
1044, 4.032284791666666, 0.04959501101169741, 4.104611094293143, 0.05131926690043887, 5.063457717151928, 0.04777728604521872, 4.3881141167217175, 0.0355907239045757
1074, 3.9768523842592596, 0.05642248391200273, 4.048465129508802, 0.05805963276741405, 5.0212596355032675, 0.04410688331645779, 4.34599212109825, 0.04048694153937656
