Cycles, Resistance_mean, Resistance_std
0, 26.401000000000028, 0.5410348109564447
50, 26.936000000000025, 0.270071595445876
100, 27.336000000000027, 0.3447897910321034
161, 27.55700000000001, 0.3598425581649189
211, 27.524000000000015, 0.2532140069848177
261, 27.770000000000028, 0.35846338725176735
311, 28.05799999999996, 0.4723445070425752
361, 28.193, 0.17984808404137118
411, 28.559, 0.250063991810005
461, 28.803999999999963, 0.5602951603098164
511, 28.89299999999997, 0.36084899889016436
561, 29.02499999999999, 0.39500042194073615
611, 29.268999999999988, 0.523876575794945
661, 29.14799999999995, 0.4817855677926432
711, 29.68199999999994, 0.46830759122612664
761, 29.726000000000006, 0.32281263915773983
811, 29.590999999999966, 0.3729861480895435
861, 30.09200000000001, 0.6662612100369791
911, 30.116000000000074, 0.86664410227032
961, 30.57000000000003, 0.7524856587779598
1011, 30.39299999999998, 0.5310655954462337
1061, 30.67199999999999, 0.3147739929960835
1111, 30.848000000000035, 0.32540436383058313
1161, 30.93599999999999, 0.5708753512517079
1211, 31.038000000000032, 0.5523042639705535
1261, 31.228000000000037, 0.6667413291524946
1311, 31.806000000000047, 0.9720384080203889
1361, 31.950999999999972, 0.5978751263153882
1411, 32.52600000000001, 0.8245402759517825
1461, 32.084, 0.9433444051176257
1511, 32.97200000000005, 0.8113396329527769
1561, 33.095000000000056, 0.6623221773930182
1611, 33.42900000000002, 0.6904249898914802
1661, 33.975000000000044, 0.29517678318817925
1711, 34.51899999999997, 1.2335374605850522
