Cycles, Capacity_mean, Capacity_std
0, 4.836464969135803, 0.007023394157129659
25, 4.717791975308643, 0.003710933058228139
50, 4.643840277777778, 0.0038906866710956803
73, 4.604516975308642, 0.005470613450562944
96, 4.56962237654321, 0.005664358498939546
119, 4.541688117283951, 0.005692432502397781
142, 4.521489351851852, 0.005591427092192182
165, 4.4899552469135795, 0.006310118955886358
188, 4.468679320987654, 0.005069401431691241
211, 4.449149537037036, 0.004568473127466737
234, 4.4308555555555555, 0.004812397808581102
257, 4.412812808641976, 0.004646433677770142
280, 4.395767283950617, 0.004453042713263122
303, 4.375761728395062, 0.004210700891830355
326, 4.3574629629629635, 0.005397423498944657
349, 4.337243672839506, 0.008188701748124161
395, 4.274784722222223, 0.03361454359896216
418, 4.245623456790123, 0.05264909893434624
441, 4.213648765432099, 0.06541025024286631
464, 4.1681844135802475, 0.07406280622680646
482, 4.284928240740742, 0.02092446816661287
487, 4.13632962962963, 0.06798956580681578
522, 4.051529938271605, 0.07308417625383427
545, 3.9885362654320993, 0.07769954738327635
568, 3.8939760802469134, 0.09224033657013736
591, 3.8106672839506186, 0.10923411330350116
614, 3.7083970679012346, 0.12339487995990922
637, 3.4781787037037044, 0.10165432612165214
660, 3.2652006172839507, 0.07632580849224789
683, 3.196968209876544, 0.06131506232739796
706, 2.9676614197530866, 0.13194801246177415
729, 2.7532438271604938, 0.2449619828615906
752, 2.380564814814815, 0.4637617460514548
