Cycles, Capacity_mean, Capacity_std
0, 4.8369711805555555, 0.005357450473285676
60, 4.592884375000001, 0.0065197990199292255
120, 4.524761921296296, 0.01265612084107032
180, 4.479268981481481, 0.014571511277172254
221, 4.453610185185185, 0.018665039316894002
271, 4.437120138888888, 0.017458542811256198
308, 4.447174768518519, 0.01089297571551734
368, 4.420454282407408, 0.009159551417481954
428, 4.365314699074074, 0.015340635848007381
488, 4.331826967592592, 0.016714426919293056
548, 4.305063425925926, 0.018277903348817934
608, 4.293640162037037, 0.01429496251881559
668, 4.272281018518519, 0.014846292239522382
728, 4.249157291666666, 0.016551187321491842
788, 4.232323611111111, 0.017701216689077592
848, 4.223339814814814, 0.01823614545425685
908, 4.214645023148148, 0.020063370036256713
968, 4.198284606481482, 0.020895359820079656
1012, 4.186168055555556, 0.021542222596457127

