Cycles, Resistance_mean, Resistance_std
0, 26.010666666666655, 0.24140698691908027
60, 26.606666666666655, 0.09833276836003443
120, 26.577333333333304, 0.02948445918332065
180, 26.710666666666683, 0.1135135821534913
226, 26.870666666666608, 0.26756183086036
276, 26.709333333333337, 0.13316656236964655
317, 26.674666666666624, 0.09246260505378195
377, 26.850666666666594, 0.06017751518073069
437, 26.912000000000035, 0.1104898185354778
497, 26.986666666666654, 0.01665332799576655
557, 26.066666666666606, 1.9907077468411585
617, 27.161333333333342, 0.20977448208338595
677, 27.370666666666683, 0.2161604342457274
737, 26.183999999999997, 2.0182051431903836
797, 27.697333333333244, 0.4174078740671833
857, 27.444000000000027, 0.07343023900275503
917, 27.59333333333333, 0.0700095231618355
977, 27.786666666666687, 0.016653327995739105
1027, 27.739999999999952, 0.05810335618527575
1069, 27.710666666666658, 0.269794983892146

