Cycles, Resistance_mean, Resistance_std
0, 26.36799999999999, 0.31568760930178424
40, 26.478999999999964, 0.20051600102393768
80, 26.647, 0.1487144915600762
120, 26.768999999999956, 0.1360931053850942
145, 27.01300000000004, 0.16461267670909915
170, 27.06900000000001, 0.26610023174226477
195, 27.068000000000005, 0.1399047294887932
214, 27.524000000000058, 0.22903857025973143
238, 27.513000000000034, 0.258165321709366
263, 27.701000000000064, 0.2497652230930083
288, 27.74600000000005, 0.3092614859090403
313, 27.981000000000037, 0.07641116846819783
338, 27.924000000000014, 0.31057795586073134
363, 28.11300000000001, 0.1646774625340727
388, 28.212999999999955, 0.17363179432355375
413, 28.391999999999975, 0.21627143439047003
438, 28.549000000000024, 0.26396716967582584
463, 28.480000000000018, 0.22294991963810182
488, 28.72499999999998, 0.3462157323596118
513, 28.72499999999998, 0.3462157323596118
538, 28.8819999999999, 0.14282856857089518
563, 28.879999999999974, 0.2364853765739165
588, 28.91299999999997, 0.10052528703432652
613, 27.999999999999936, 0.0
638, 27.999999999999936, 0.0
663, 29.238000000000007, 0.45758205092998205
688, 29.580999999999992, 0.07514430561707222
713, 29.658999999999924, 0.38651088816057244
738, 29.814999999999927, 0.23703445600451234
763, 29.771000000000036, 0.3178657997750781
788, 30.28200000000001, 0.34806129728349183
813, 30.33700000000006, 0.20331584624253227
838, 30.691999999999986, 0.3278861591060759
863, 30.914999999999978, 0.5943680117009382
