Cycles, Resistance_mean, Resistance_std
0, 26.078666666666688, 0.12246360003416952
40, 26.627999999999947, 0.11200000000002287
80, 26.968000000000046, 0.3929783709060855
120, 27.206666666666678, 0.4159679474831892
146, 27.08666666666672, 0.3551750742005478
202, 27.023999999999997, 0.4602086483325444
242, 27.23199999999994, 0.32565011899279245
282, 27.082666666666693, 0.2534350672921136
322, 27.737333333333325, 0.10660831737400886
362, 27.75066666666663, 0.5635932339313939
402, 27.69199999999999, 0.41812916664592686
442, 27.646666666666658, 0.30403508569462945
482, 27.825333333333372, 0.3439612381261397
522, 28.046666666666614, 0.31400212313511106
562, 27.945333333333327, 0.3361507598285928
602, 28.00400000000002, 0.3364996285287121
642, 27.943999999999985, 0.37848117522534097
671, 28.017333333333383, 0.32910383366550994
695, 27.588000000000022, 0.16414627622947212
735, 28.359999999999985, 0.09806120537715995
767, 28.433333333333326, 0.3681376554134406
