Cycles, Capacity_mean, Capacity_std
0, 4.828059567901234, 0.012426174277315552
50, 4.621661728395062, 0.01765917153307812
100, 4.541143209876544, 0.023404603943539635
161, 4.454595216049383, 0.027808065379617837
211, 4.439521759259258, 0.024575936360993776
261, 4.401212962962964, 0.024233030372134565
311, 4.369476080246913, 0.025285266393168783
361, 4.3617438271604945, 0.025145543443174947
411, 4.317014660493828, 0.02588296886101855
461, 4.287506944444444, 0.026514901450471567
511, 4.263139197530864, 0.02599084327163425
561, 4.2413952160493835, 0.02626755816831025
611, 4.229657561728396, 0.026010439863559595
661, 4.216116975308643, 0.02835289148224752
711, 4.186447067901234, 0.029008756033265897
761, 4.17021898148148, 0.03073866274421918
811, 4.184765277777777, 0.08967653003319571
861, 4.146889043209876, 0.029688906779655258
911, 4.1170129629629635, 0.02904291861020848
961, 4.096929320987653, 0.02922018768270954
1011, 4.074850000000001, 0.02877055184794138
1061, 4.0708566358024685, 0.0325808880378069
1111, 4.050081944444444, 0.029415315674891022
1161, 4.023233796296296, 0.02695169720304475
1211, 3.995448765432099, 0.02400314829143487
1261, 3.9814510802469134, 0.021894876362414165
1311, 3.962507407407408, 0.016485643467681606
1361, 3.9123154320987656, 0.014117437615393903
1411, 3.870161728395061, 0.005809745378318137
1461, 3.963889043209877, 0.010181686029116755
1511, 3.8624736111111115, 0.011335908196672583
1561, 3.8649986111111105, 0.0050208740158519186
1611, 3.793494135802469, 0.025593722146767
1661, 3.8126716049382714, 0.009252835924007604
1711, 3.729937808641976, 0.03290952247813448
