Cycles, Capacity_mean, Capacity_std
0, 4.755964236111112, 0.007884712715903068
40, 4.683183680555556, 0.006113085298579376
80, 4.579949305555555, 0.02447098633418686
120, 4.437932407407407, 0.12352876449351002
160, 4.187858333333335, 0.24409128265461508
200, 3.8063696759259265, 0.45974835195073177
235, 3.2665374999999996, 0.7042390698307899
270, 2.710300925925926, 0.9795066179964218
305, NaN, NaN
340, 1.510424189814815, 0.6973583542507468
375, 1.145361342592592, 0.48715900592616596
410, 0.9314751157407405, 0.3570221875982886
