Cycle_number, Full_cell_capacity_mean, Full_cell_capacity_std, Anode_capacity_mean, Anode_capacity_std, Cathode_capacity_mean, Cathode_capacity_std, Total_lithium_mean,Total_lithium_std
0, 4.9443284895833335, 0.02451846249266281, 5.051670992287365, 0.024023599626687136, 5.695872692981523, 0.027974567495380534, 5.1835257255876375, 0.027697457296219127
240, 4.505598940972222, 0.025957409463795638, 4.617493747172558, 0.026049073212009378, 5.494377717636095, 0.025640975542153818, 4.699759448457997, 0.028714401196097174
355, 4.4302936805555575, 0.02712540673663993, 4.5393825690781275, 0.02786425365043369, 5.465930966941896, 0.0242600464181944, 4.621307419077682, 0.0308430764166662
520, 4.358208020833334, 0.03701996957698762, 4.461883255174223, 0.04113712227079555, 5.431415704363519, 0.025256851826294606, 4.5437673623729795, 0.04027090193893857
850, 4.253529722222222, 0.030505169851421095, 4.35127439788537, 0.03297997865082818, 5.385447608304001, 0.01977803765611438, 4.444342835455011, 0.033580897635427716
1180, 4.1980034375, 0.02926879469079756, 4.29006478615662, 0.03192106950812494, 5.359862816886657, 0.013467581822917588, 4.395557928546522, 0.031318975861484064
1587, 4.118306493055554, 0.00833467745077353, 4.197984603172032, 0.007602436593468863, 5.3241220598615175, 0.0013014224263043076, 4.331809352896137, 0.01137104002564252
2077, 4.0777973842592585, 0.03388850070199381, 4.156454938430579, 0.03601654221959676, 5.287234449698743, 0.030456547263720973, 4.294353242604459, 0.04097437351290681
2336, 3.9963368981481495, 0.044194534862478825, 4.0662741888093805, 0.04883626285767841, 5.203939972241796, 0.03748030138791591, 4.230628808149633, 0.039837329127275195
2426, 3.976678171296296, 0.047600408984844314, 4.045630644149891, 0.05145286790504471, 5.179668343528038, 0.046482937987488156, 4.212333974883494, 0.04364191518031165
