Cycles, Capacity_mean, Capacity_std
0, 4.830481597222222, 0.010479060818876564
20, 4.727316203703705, 0.01190371950671028
40, 4.6816625, 0.012751944156131156
60, 4.646305555555555, 0.012691431557753015
80, 4.615002430555555, 0.013330631340456593
100, 4.590503703703704, 0.013533221445930997
120, 4.572312962962963, 0.013640087327808699
140, 4.542776504629629, 0.014135400684901503
160, 4.524686921296297, 0.014016717099582328
180, 4.508775231481481, 0.01397109718562109
200, 4.4943813657407405, 0.013889212822225138
220, 4.480096064814815, 0.01399340102607328
240, 4.466436921296296, 0.014252860218287313
260, 4.450867824074074, 0.014237914783362015
280, 4.437364236111111, 0.014374643289817302
300, 4.423200347222222, 0.014576422585452772
318, 4.397633680555557, 0.017550667027762857
338, 4.3952381944444445, 0.01145120808203505
358, 4.379501041666667, 0.012595415331181145
378, 4.3674891203703705, 0.012998351878726238
398, 4.355245601851852, 0.013519791556518246
418, 4.343502777777778, 0.014662631182728177
438, 4.331231481481481, 0.014149995864778319
458, 4.31807361111111, 0.01442060821634968
478, 4.30752638888889, 0.014204557458404406
498, 4.296318634259259, 0.014317180049587926
518, 4.286589930555556, 0.013989751276254302
538, 4.2631533564814825, 0.01414123427420658
558, 4.242597222222223, 0.014109874509383901
578, 4.268088078703704, 0.013922351352937696
598, 4.239697106481481, 0.0144119628377232
618, 4.226206828703703, 0.014003366494281409
638, 4.218341087962964, 0.013665458896700386
658, 4.203102314814815, 0.013725963917943767
678, 4.182191666666666, 0.01370312854356979
