Cycles, Capacity_mean, Capacity_std
0, 4.833552932098765, 0.005157821508521264
60, 4.60433487654321, 0.0019164701955442
120, 4.542676851851852, 0.003927789100819468
180, 4.508648919753087, 0.004727425449775801
226, 4.475275771604938, 0.008717575742657866
276, 4.467493518518519, 0.003240920200058796
317, 4.451057253086421, 0.00820958209377559
377, 4.451085802469136, 0.006082788258695134
437, 4.408361728395062, 0.005364898959576657
497, 4.380576543209876, 0.0063616239269355356
557, 4.355566203703703, 0.007317746145538175
617, 4.343152006172839, 0.00930050081911673
677, 4.327167283950618, 0.009587546693368212
737, 4.30584938271605, 0.010337682613975802
797, 4.289525154320987, 0.010281181893022035
857, 4.283370833333333, 0.009992883152108752
917, 4.277682561728397, 0.010321620393663888
977, 4.2625370370370375, 0.010230649465499642
1027, 4.256019753086419, 0.010144396402133977
